age_in_months,second_percentile_length,ninty_eighth_percentile_length
0,46.09799,53.67041
1,50.83131,58.61749
2,54.42396,62.42584
3,57.34047,65.51793
4,59.72447,68.04753
5,61.67956,70.12564
6,63.34303,71.90417
7,64.82235,73.50665
8,66.18835,75.01045
9,67.48217,76.45523
10,68.71138,77.85102
11,69.88013,79.19748
12,70.99632,80.50128
13,72.06657,81.77063
14,73.09511,83.0043
15,74.08522,84.20638
16,75.04248,85.38012
17,75.96753,86.52987
18,76.86417,87.65323
19,77.73119,88.75241
20,78.5717,89.8275
21,79.3865,90.8831
22,80.17925,91.91615
23,80.95077,92.93123
24,81.70586,93.92634
