age_in_months,second_percentile_length,ninty_eighth_percentile_length
0,45.4223043,52.8730957
1,49.7787718,57.5956282
2,52.9949775,61.1396225
3,55.5927758,64.0130242
4,57.7609922,66.4188078
5,59.5953753,68.4648247
6,61.1982833,70.2639167
7,62.656588,71.918012
8,64.0198138,73.4797862
9,65.3120157,74.9749843
10,66.5466965,76.4169035
11,67.7294251,77.8125749
12,68.8650363,79.1649637
13,69.9583854,80.4768146
14,71.0135941,81.7498059
15,72.0315003,82.9882997
16,73.016649,84.1943511
17,73.9729301,85.3690699
18,74.9001595,86.5156405
19,75.8018023,87.6345977
20,76.6778157,88.7293843
21,77.5310529,89.7997471
22,78.363609,90.844391
23,79.1728908,91.8675092
24,79.9618054,92.8687946
